NO;ID;NAMA ITEM DATA;KELURAHAN;KECAMATAN;KABUPATEN/KOTA;LATITUDE;LONGITUDE;TIPE ATM;ALAMAT;DATA ATRIBUT7;DATA ATRIBUT8;DATA ATRIBUT9;PHOTO/GAMBAR
1;;A. YANI PAYAKUMBUH;LUNDANG;PAYAKUMBUH BARAT;KOTA PAYAKUMBUH;-0.22196576220638836;100.63305271954982;ATM Tunai;JL.A.YANI NO.24 PAYAKUMBUH;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
2;;APOTIK METRO GADUT;NAGARI GADUT;TILATANG KAMANG;KOTA BUKITTINGGI;-0.2760417760415793;100.36624572208136;ATM Tunai;JL.RAYA BUKIT AMBACANG NO.108 KAB AGAM;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
3;;AROMA KITCHEN RESTO;PARUPUK TABING;KOTO TANGAH;KOTA PADANG;-0.8704840516223766;100.34474611336655;ATM Tunai;JL.PROF.DR HAMKA RT.003 RW.002;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
4;;BANDARA INT MINANGKABAU;BATANG ANAI;BATANG ANAI;KAB. PADANG PARIAMAN;-0.7855712630241705;100.30237062684101;ATM Tunai;JL. SYECH BURHANUDDIN KETAPING PADANG PARIAMAN;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
5;;BLG KC BUKITTINGGI CRM;ATTS;GUGUAK PANJANG;KOTA BUKITTINGGI;-0.288985003135685;100.37255410656847;CRM;JL. PERINTIS KEMERDEKAAN NO. 15 - BUKITTINGGI;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
6;;BNI SYARIAH BUKITTINGGI;TAROK DIPO;GUGUK PANJANG;KOTA BUKITTINGGI;-0.32069737654343955;100.37793613306735;ATM Tunai;JL.SUDIRMAN BUKITTINGGI / BNI SYARIAH;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
7;;BNI SYARIAH SOLOK;IV KOTO;KEC. PULAU PUNJUNG;KAB. DHARMASRAYA;-0.9513207786300344;101.49086673079759;CRM;JL. LINTAS SUMATERA KM1 JORONG SIMPANG, POGANG NAGARI IV;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
8;;BPK RI SUMATRA BARAT;LOLONG BELANTI;PADANG UTARA;KOTA PADANG;-0.9092380188975547;100.3557392738317;ATM Tunai;JL KHATIB SULAIMAN NO. 54 PADANG;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
9;;CAPEM SAWAH LUNTO;PASAR REMAJA;PASAR REMAJA;KOTA SAWAHLUNTO;-0.6438741571420963;100.77908410947727;ATM Tunai;JL. A YANI NO. 205 KOMPLEKS PASAR REMAJA KOTA SAWAHLUNTO;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
10;;DRIVE THRU;KAMPUNG PONDOK;PADANG BARAT;KOTA PADANG;-0.9544896634870583;100.3595743192732;ATM Tunai;JL. DOBI NO. 1 PADANG;;;;https://drive.google.com/drive/folders/1cgT2iYpPkRPR1hec6GPK5gBwETxpp35v
